category,question_en,option_a_en,option_b_en,question_ko,option_a_ko,option_b_ko,
romance,Which is worse?,Your crush sees your cringe posts from 5 years ago,Your ex becomes your crush's roommate,더 싫은 상황은?,짝사랑하는 사람이 내 5년 전 흑역사 게시물 발견,전 애인이 짝사랑하는 사람의 룸메이트가 됨,
romance,Who do you want to date more?,Someone who overshares everything on social media,Someone who posts couple pics but crops you out,더 연애하고 싶은 사람은?,SNS에 모든 걸 과하게 공유하는 사람,커플 사진은 올리지만 나는 잘라내는 사람,
romance,Which is worse?,Your partner's ex keeps liking all their posts,Your partner keeps all their ex's gifts displayed,더 싫은 상황은?,애인의 전 애인이 계속 게시물에 좋아요 누름,애인이 전 애인의 선물을 계속 전시해둠,
romance,Which is worse?,You have food stuck in your teeth the whole time,You accidentally call them your ex's name,더 싫은 상황은?,밥먹는 내내 이에 음식물이 낌,실수로 전 애인 이름 부름,
romance,Which is better?,Partner who sends 100 texts a day,"Partner who replies once a day with ""k""",더 나은 것은?,하루에 100개 문자 보내는 애인,"하루에 한 번 ""ㅇㅋ""로만 답장하는 애인",
romance,Which is worse?,Your partner's phone wallpaper is their ex,Your partner's phone password is their ex's birthday,더 싫은 상황은?,애인 폰 배경화면이 전 애인,애인 폰 비밀번호가 전 애인 생일,
romance,Which is better?,Catch your partner stalking their ex's Instagram at 3am,Find out your partner's ex is stalking YOUR Instagram,더 나은 상황은?,새벽 3시에 애인이 전 애인 인스타 보는 걸 들킴,애인의 전 애인이 내 인스타를 감시하고 있다는 걸 알게 됨,
romance,Which is worse?,Go on a date and realize you're wearing the same outfit,Go on a date and realize you went to the wrong restaurant,더 싫은 상황은?,데이트 가서 똑같은 옷 입은 걸 깨달음,데이트 가서 엉뚱한 레스토랑에 온 걸 깨달음,
romance,Which is worse?,Your partner posts a story partying with their ex,"Your partner's ex comments ""miss you"" on their posts",더 싫은 상황은?,애인이 전 애인과 파티하는 스토리 올림,"애인 게시물에 전 애인이 ""보고싶어"" 댓글 달음",
romance,What situation do you hate more when you date someone you met online?,Meet your online date and they look completely different,"Your date brings their friend ""just in case""",온라인에서 만난 상대와 데이트할 때 더 싫은 상황은?,온라인에서 만난 사람이 실제로는 완전 다르게 생김,"온라인 데이트 상대가 ""혹시 몰라서"" 친구 데려옴",
romance,Which is worse?,Your partner always compares you to their ex,Your partner never talks about their past at all,더 싫은 상황은?,애인이 항상 나를 전 애인과 비교함,애인이 과거에 대해 전혀 말하지 않음,
romance,Which is better?,Someone who vlogs every moment together,Someone who doesn't post my pictures on social media,더 나은 것은?,함께하는 모든 순간을 브이로그 찍는 사람,SNS에 커플 사진을 올리지 않는 사람,
romance,Which is worse?,Your partner's mom hates you,All your partner's friends think you're weird,더 싫은 상황은?,애인 엄마가 나를 싫어함,애인 친구들이 모두 나를 이상하게 생각함,
romance,Which is worse?,Propose and accidentally drop the ring down a drain,Propose and your partner thinks you're joking,더 싫은 상황은?,프러포즈하다가 반지를 하수구에 떨어뜨림,프러포즈했는데 애인이 농담인 줄 앎,
romance,Which is better?,Your partner only communicates through voice messages,Your partner only sends single-word texts,더 나은 것은?,애인이 음성 메시지로만 소통함,애인이 한 단어 문자만 보냄,
romance,Who do you want to date more?,"Someone who's obsessed with astrology and says you're ""incompatible""","A person who says I fell in love at first sight but doesn't say ""I love you""",더 연애하고 싶은 사람은?,별자리/사주에 집착하며 우리의 궁합이 안 맞는다고 말하는 사람,첫눈에 반했다고 했는데 좋아한다고 말하지 않는 사람,
romance,Which is worse?,Your partner shares your secrets with their friends,Your partner shares their friends' secrets with you,더 싫은 상황은?,애인이 내 비밀을 친구들에게 말함,애인이 친구들의 비밀을 나에게 말함,
romance,Which mistake do you hate more?,Accidentally send a voice message talking about your date TO your date,Post a story meant to be private but it goes public,더 최악인 실수는?,데이트 상대에 대해 얘기한 음성메시지를 실수로 그 사람한테 보냄,비공개로 올린 스토리가 전체공개로 올라감,
romance,Which is worse?,"Your partner's contact name for you is ""Free Food""",You find out your partner has been calling you the wrong name to their friends,더 싫은 상황은?,"애인이 나를 ""밥셔틀""로 저장함",애인이 친구들한테 내 이름을 잘못 말해왔다는 걸 알게 됨,
romance,What is the worst dating app match?,Match with someone who super liked you by mistake,Match with your coworker's sibling,더 최악인 데이팅앱 매칭은?,"실수로 ""좋아요"" 누른 사람과 매칭됨",동료의 형제자매와 매칭됨,
romance,Which is worse?,Your date only talks about their ex the whole time,Your date only talks about crypto/stocks the whole time,더 싫은 상황은?,데이트 내내 전 애인 얘기만 함,데이트 내내 코인/주식 얘기만 함,
romance,Which is worse?,Go to your partner's place and it's really messy,Your partner comes to your place when you didn't clean up,더 싫은 상황은?,애인 집에 갔는데 완전 지저분함,청소 안 한 날 애인이 내 집에 옴,
romance,Which is worse?,"Your partner drunk-texts their ex ""I miss you""",You drunk-text your ex while with your partner,더 싫은 상황은?,"애인이 취해서 전 애인한테 ""보고싶어"" 문자 보냄",내가 애인이랑 있을 때 취해서 전 애인한테 문자 보냄,
romance,Which is worse?,Have a wardrobe malfunction on a first date,Have really bad breath you can't fix on a first date,더 싫은 상황은?,첫 데이트에서 옷이 찢어지거나 고장남,첫 데이트에서 입냄새가 심한데 해결할 수 없음,
romance,Who do you want to date more?,Partner who posts thirst traps daily,Partner who never posts you but posts everything else,더 연애하고 싶은 사람은?,애인이 매일 자신의 섹시한 사진을 올림,애인이 나는 안 올리고 다른 건 다 올림,
romance,Who do you want to date more?,"Someone who's still ""best friends"" with all their exes",Someone who bad-mouths all their exes,더 연애하고 싶은 사람은?,"모든 전 애인과 ""베프""라는 사람",모든 전 애인 욕하는 사람,
romance,Which is worse?,Your partner forgets your birthday,Your partner throws you a surprise party but invites people you don't like,더 싫은 상황은?,애인이 내 생일을 까먹음,애인이 서프라이즈 파티를 열어주는데 싫어하는 사람들을 초대함,
romance,Which is worse?,"Accidentally ""like"" your crush's photo from 3 years ago",Accidentally send a message to ex,더 싫은 상황은?,실수로 짝사랑하는 사람의 3년 전 사진에 좋아요 누름,실수로 전 애인한테 메세지를 보냄,
romance,Which is worse?,Your partner's celebrity crush looks exactly like their ex,You look exactly like your partner's ex,더 싫은 상황은?,애인의 이상형 연예인이 전 애인과 똑같이 생김,내가 애인의 전 애인과 똑같이 생김,
romance,Which is worse?,Get caught rehearsing what to say before calling your crush,Get caught writing fanfiction about your crush,더 싫은 상황은?,짝사랑하는 사람한테 전화하기 전 대사 연습하는 걸 들킴,짝사랑하는 사람에 대한 팬픽 쓰는 걸 들킴,
romance,Which is worse?,Your partner replies to your long emotional text with a meme,Your partner leaves you on read for days then acts like nothing happened,더 싫은 상황은?,애인이 내 긴 감정 문자에 밈으로 답장함,애인이 며칠 동안 읽씹하다가 아무 일 없었다는 듯 행동함,
romance,Who do you want to date more?,"Someone who uses ""uwu"" and "":3"" in every text",Someone who only uses periods and never emojis,더 연애하고 싶은 사람은?,"모든 문자에 ""ㅇㅅㅇ"" ""^^"" 쓰는 사람",온점만 찍고 이모티콘 절대 안 쓰는 사람,
romance,Which is worse?,Your partner's pet hates you,You're allergic to your partner's beloved pet,더 싫은 상황은?,애인의 반려동물이 나를 싫어함,내가 애인의 반려동물 알레르기를 가지고 있음,
romance,Which mistake do you hate more?,Fart loudly during a romantic moment,Burp in your partner's face during your first kiss,더 최악인 실수는?,로맨틱한 순간에 크게 방귀 뀜,첫 키스하는데 애인 얼굴에 대고 트림함,
romance,Which is worse?,Your partner sleep-talks about their ex,You talk in your sleep and reveal embarrassing secrets,더 싫은 상황은?,애인이 잠꼬대로 전 애인 얘기함,내가 잠꼬대로 창피한 비밀 다 말함,
romance,Which is worse?,"Send ""I love you"" text to the wrong person","The ""I love you"" text from my crush was originally meant to be sent to someone else",더 싫은 상황은?,사랑해 문자를 엉뚱한 사람한테 보냄,"짝사랑 상대가 보낸 ""사랑해"" 문자가 원래 다른 사람한테 보내려던 거였음",
romance,Which is better?,Your partner constantly checks your phone,Your partner never shows you their phone,더 나은 상황은?,애인이 계속 내 폰 확인함,애인이 절대 자기 폰 안 보여줌,
romance,Which couple item do you hate more?,Have matching couple outfits that you must wear in public,Couple tattoos,더 싫은 커플 아이템은?,공공장소에서 꼭 입어야 하는 커플룩,커플 타투,
romance,Which is better?,Your partner only gives you practical gifts (socks cleaning supplies),Your partner only gives you expensive gifts you don't want,더 나은 상황은?,애인이 실용적인 선물만 줌(양말 청소용품),애인이 원하지 않는 비싼 선물만 줌,
romance,Which is worse?,Meet your partner's parents while sick and constantly sniffling,Meet them and accidentally break something valuable,더 싫은 상황은?,아플 때 애인 부모님 만나서 계속 코 훌쩍임,애인 부모님 만나서 실수로 귀중품 깨뜨림,
romance,Which is worse?,Your partner tags you in embarrassing memes daily,Your partner never tags you in anything,더 싫은 상황은?,애인이 매일 창피한 밈에 나를 태그함,애인이 어디에도 나를 태그 안 함,
romance,Which is worse?,Go on vacation with your partner and fight the whole time,Go separately and miss each other,더 싫은 상황은?,애인과 여행 가서 내내 싸움,따로 가서 서로 그리워함,
romance,Which one is harder to watch when you watch a movie?,Partner who cries at every movie,Partner who doesn't relate to the movie,영화볼 때 더 힘든 상대는?,애인이 모든 영화에서 울음,애인이 영화에 공감 못함,
romance,Who do you want to date more?,Date someone who's never single (jumps from relationship to relationship),Date someone who's been single for 10 years,더 연애하고 싶은 사람은?,절대 싱글 아닌 사람과 연애(연애를 계속 이어감),10년간 싱글이었던 사람과 연애,
romance,Which is worse?,Your partner is best friends with someone who clearly likes them,Your best friend clearly likes your partner,더 싫은 상황은?,애인이 자기를 좋아하는 사람과 베프임,내 베프가 내 애인을 좋아함,
romance,Which is better?,"Your partner tells small lies, but when you look into it, they're all good lies.","Even in situations where it's okay to lie, your partner never lies and only tells the truth.",더 나은 상황은?,애인이 사소한 거짓말을 하는데 알고보면 다 착한 거짓말임,애인이 거짓말해도 괜찮은 상황에도 절대 거짓말을 안 하고 사실만 말함,
romance,Which is worse?,Your partner has a weird laugh that embarrasses you,Your partner never wants to be caught laughing,더 싫은 상황은?,애인이 이상한 웃음소리로 나를 당황하게 함,애인이 절대 자신이 웃는걸 들키고 싶어 하지 않음,
romance,Which is better?,Date someone who's super jealous,Date someone who has no jealousy at all,더 나은 것은?,엄청 질투하는 사람과 연애,질투심 전혀 없는 사람과 연애,
romance,Which is worse?,"Your partner accidentally calls you ""mom/dad""","Your partner accidentally calls you ""son/daughter""",더 싫은 상황은?,"애인이 실수로 나를 ""엄마/아빠""라고 부름","애인이 실수로 나를 ""아들/딸""라고 부름",
romance,Which ex cares more?,The ex who is always hugely successful (hits the jackpot),The ex who is always completely failing (is always a bust/on hard times),더 신경쓰이는 전 애인은?,항상 대박나는 사람,항상 쪽박차는 사람,
romance,Which is worse?,Your partner selling a gift you gave them on a second-hand market,Your partner buying a gift for you from a second-hand market,더 싫은 상황은?,내가 준 선물 중고시장에 판매,내게 줄 선물 중고시장에서 구매,
romance,Which is better?,Have a partner who loves PDA,Have a partner who won't even hold your hand in public,더 나은 상황은?,공개적 애정표현 좋아하는 애인,공공장소에서 손도 안 잡으려는 애인,
romance,Which is worse?,"Your partner subtly posts a TikTok that seemed to ""please rate my girlfriend/boyfriend""","Your partner's ex posts a ""my ex upgrade/downgrade"" TikTok",더 싫은 상황은?,"애인이 나 모르게 ""내 애인 평가해줘""라는 틱톡 올림","애인의 전 애인이 ""나보다 업/다운?"" 틱톡 올림",
romance,"Which ""I love you"" do you want to hear more?","First ""I love you"" during an argument","First ""I love you"" in front of a crowd","더 듣고 싶은 ""사랑해""는?","싸우는 중에 처음으로 ""사랑해""","사람들 앞에서 처음으로 ""사랑해""",
romance,Who do you want to date more?,Partner who talks like baby all the time,Partner who only communicates in sarcasm,더 연애하고 싶은 사람은?,애인이 항상 애기처럼 말함,애인이 항상 빈정대는 말투로 말함,
romance,Who do you want to date more?,Date someone who's a picky eater,Date someone who eats while munching,더 연애하고 싶은 사람은?,편식하는 사람과 연애,쩝쩝대고 먹는 사람과 연애,
romance,Which is worse?,Receiving a surprise confession of love from a colleague in front of everyone at the company party,Your ex-partner crying and begging you to come back in the company lobby,더 싫은 상황은?,연말 회식에서 회사 동료한테 깜짝 고백받기,회사 로비에 전 애인이 찾아와서 울면서 매달리기,
romance,A lover who wants to go on a trip separately and see you at the destination?,I understand,I don't understand,여행가는데 따로 출발해서 여행지에서 보자는 애인?,이해 간다,이해 안 간다,
romance,Which is worse?,Your partner reads all your texts over your shoulder,Your partner hides their phone screen from you,더 싫은 상황은?,애인이 내 어깨 너머로 모든 문자 읽음,애인이 나한테 폰 화면 숨김,
romance,Who do you want to date more?,Date someone who overshares on SNS about your relationship,Date someone who pretends to be single online,더 연애하고 싶은 사람은?,SNS에서 우리 연애 과다공유하는 사람과 연애,온라인에서 싱글인 척하는 사람과 연애,
romance,Which is worse?,Your partner's lock screen is you making an ugly face,Your partner has no photos of you at all,더 싫은 상황은?,애인 잠금화면이 내 못생긴 얼굴,애인이 내 사진이 하나도 없음,
romance,Which is worse?,Plan a surprise date and everything goes wrong,Receive a surprise date that's completely not your style,더 싫은 상황은?,서프라이즈 데이트 계획했는데 모든 게 잘못됨,완전 내 스타일 아닌 서프라이즈 데이트 받음,
romance,Which is worse?,Your partner sings to you in public,Your partner makes you sing to them in public,더 싫은 상황은?,애인이 공공장소에서 나한테 노래 불러줌,애인이 공공장소에서 나보고 노래 부르라고 함,
romance,Which club is more likely to fall in love with you?,A Running Club,A Board Game Club,더 사랑이 싹틀 것 같은 동호회는?,러닝 동호회,보드게임 동호회,
workschool,Which is worse?,Your boss finds your private Twitter rant account,Your colleague finds your secret food blog where you roast the office kitchen,더 싫은 상황은?,상사가 내 비공개 트위터 불평 계정 발견,동료가 탕비실 디스하는 내 비밀 음식 블로그 발견,
workschool,What's the worse accident?,Present with your fly down the entire meeting,Present and sneeze directly on your laptop screen mid-sentence,더 싫은 사고는?,회의 내내 바지 지퍼 열린 채로 발표,줌 발표 중 노트북 화면에 직접 재채기,
workschool,What's the worse accident?,Accidentally send a complaint about your boss TO your boss,Reply-all to company email with something embarrassing,더 싫은 사고는?,상사 불평을 실수로 상사한테 보냄,회사 전체 메일에 전체회신으로 창피한 내용 보냄,
workschool,What's the worse accident?,Your Zoom background falls and reveals your messy room during an important call,Your cat/pet does something embarrassing on camera,더 싫은 사고는?,중요한 줌 회의 중 배경이 떨어져서 지저분한 방이 보임,반려동물이 카메라에서 창피한 짓함,
workschool,What's the worse accident?,Work from home but background noise reveals you're actually at a cafe,Camera reveals you're in pajamas during a client call,더 싫은 사고는?,재택근무인데 배경 소음으로 실제로는 카페에 있다는 게 들통남,고객 미팅 중 카메라에 잠옷 입은 게 찍힘,
workschool,Which one do you hate more?,Microwave fish in the office kitchen daily,Clip your nails at your office desk,더 싫은 행동은?,매일 탕비실에서 생선 데움,사무실 책상에서 손톱 깎음,
workschool,Which one do you hate more?,Your coworker never mutes and you hear everything,Your coworker's camera is always on even during lunch,더 싫은 행동은?,동료가 절대 음소거 안 해서 모든 소리 들림,동료 카메라가 점심시간에도 항상 켜져 있음,
workschool,What's the worse accident?,Have your internet cut out during your big presentation,Have your screen share reveal your embarrassing tabs,더 싫은 사고는?,큰 발표 중 인터넷 끊김,화면 공유로 창피한 탭들 공개됨,
workschool,Which is worse?,Your boss adds you on TikTok,Your boss follows your finsta (fake Instagram),더 싫은 상황은?,상사가 틱톡에서 나를 추가함,상사가 내 가짜 인스타 팔로우함,
workschool,Which one is more attractive?,Get stuck in the elevator with your office crush for 2 hours,Leaving work one hours early,더 끌리는 상황은?,회사에서 짝사랑하는 사람과 엘리베이터에 2시간 갇힘,1시간 일찍 퇴근,
workschool,What do you hate more?,Everyone at work knows your salary,Everyone at work knows your search history,더 싫은 것은?,회사 모두가 내 연봉 앎,회사 모두가 내 검색 기록 앎,
workschool,What do you hate more?,"Your ""sick day"" gets exposed by your Instagram story","Your ""working remotely"" gets exposed by your location tag",더 싫은 것은?,"내 ""병가""가 인스타 스토리로 들통남","내 ""원격 근무""가 위치 태그로 들통남",
workschool,Which is worse?,accidentally sending confidential business documents to a friend,Accidentally send a meme to your boss,더 싫은 상황은?,실수로 대외비 업무 문서를 친구한테 보냄,실수로 밈을 상사한테 보냄,
workschool,Which is better?,Have to share an office with someone who eats loudly,Share with someone who takes personal calls on speaker,더 나은 것은?,시끄럽게 먹는 사람과 사무실 공유,스피커폰으로 개인 통화하는 사람과 사무실 공유,
workschool,Which is worse?,Mom's friend's son becomes a co-worker,The neighbor next door becomes the boss,더 싫은 상황은?,엄마 친구 아들이 동료가 됨,옆집 이웃이 상사가 됨,
workschool,Which is better?,Always dodgeball in P.E. class,Always soccer in P.E. class,더 나은 것은?,체육 시간에 항상 피구,체육 시간에 항상 축구,
workschool,What's the worse accident?,Trip and fall in front of everyone on your first day,Chew your tongue while introducing yourself,더 싫은 사고는?,출근 첫 날에 모두 앞에서 넘어짐,자기소개하다가 혀 씹음,
workschool,Which is worse?,Your work crush sees you talking to yourself in the bathroom mirror,Your boss catches you napping under your desk,더 싫은 상황은?,짝사랑하는 동료가 화장실 거울 보며 혼잣말하는 나를 봄,상사가 책상 밑에서 자는 나를 잡음,
workschool,Which is better?,P.E. as 1st period every day,P.E. as last period every day,더 나은 것은?,매일 1교시 체육,매일 6교시 체육,
workschool,Which is worse?,"Your boss mispronounces your name all year, but he doesn't correct it even if you tell him","You have a co-worker with the same name and my boss calls you with an ""ugly"" modifier to tell you apart",더 싫은 상황은?,1년 내내 내 이름 잘못 발음하는데 알려줘도 정정을 안함,같은 이름을 가진 동료가 있는데 상사가 구별을 위해 '못생긴' 수식어를 붙여서 부름,
workschool,Which is worse?,Spill coffee on yourself right before a presentation,Spill coffee on your boss,더 싫은 상황은?,발표 직전 커피를 나한테 쏟음,상사한테 커피 쏟음,
workschool,Which is worse?,Your video goes viral but you're doing something embarrassing at work/school,Your comment on a company post goes viral for the wrong reasons,더 싫은 상황은?,직장/학교에서 창피한 짓하는 영상이 바이럴됨,회사 게시물에 단 댓글이 나쁜 이유로 바이럴됨,
workschool,Which is worse?,Forget your laptop password during a demo,Forget how to spell your own name when introducing yourself,더 싫은 상황은?,시연 중 노트북 비밀번호 까먹음,자기소개할 때 내 이름 철자 까먹음,
workschool,Which is worse?,Have everyone sing Happy Birthday to you at work,Have to make a speech in front of everyone on your first day,더 싫은 상황은?,직장에서 모두가 생일 축하 노래 불러줌,첫날 모두 앞에서 연설해야 함,
workschool,Which is worse?,Your side hustle gets discovered by your boss,Your boss asks you to work on their side hustle for free,더 싫은 상황은?,내 부업이 상사한테 발각됨,상사가 자기 부업을 무료로 도와달라고 함,
workschool,Which is better?,Work in an office that's always too cold,Always too hot,더 나은 것은?,항상 너무 추운 사무실,항상 너무 더운 사무실,
workschool,Which is worse?,"Your ""professional"" email has a typo that makes it embarrassing",Your email signature has an embarrassing quote,더 싫은 상황은?,전문적인 이메일에 창피한 오타 있음,이메일 서명에 창피한 인용구 있음,
workschool,What's the worse accident?,Have a Zoom call freeze on your worst face,Have your audio glitch so you sound like a 'Darth Vader',더 싫은 사고는?,줌 화면이 내 최악의 표정에서 멈춤,오디오 오류로 다스베이더 같은 목소리 나옴,
workschool,Which is worse?,Your group project partners do nothing,You don't make any mistakes but they call you out publicly,더 싫은 상황은?,조별과제에서 팀원들이 아무것도 안 함,아무 실수도 안했는데 공개적으로 까임,
workschool,Which is worse?,Teachers/boss reads your private note out loud thinking it's for class/work,Send a long meme automatically while trying to submit a assignment/report,더 싫은 상황은?,선생님/상사가 내 사적인 메모를 크게 읽음,과제/보고서 제출하려다 자동완성으로 장문의 밈을 보냄,
workschool,What's the worse accident?,Drink and send a previously saved resignation email,"You really quit, but everyone thought it was a joke, so they kept contacting you",더 싫은 사고는?,술마시고 이전에 저장해뒀던 사직 이메일을 전송함,진짜 그만뒀는데 모두가 농담인 줄 알고 계속 연락함,
workschool,Which is worse?,Your Zoom name is stuck as something inappropriate,Your profile picture is an embarrassing old photo,더 싫은 상황은?,줌 이름이 부적절한 걸로 고정됨,프로필 사진이 창피한 옛날 사진임,
workschool,What's the worse accident?,Accidentally unmute and everyone hears you complaining,Accidentally share screen showing personal messages,더 싫은 사고는?,실수로 음소거 해제되어 불평하는 소리 다 들림,실수로 개인 메시지 보이는 화면 공유함,
workschool,Which is worse?,Walk into the wrong classroom/meeting and start presenting,Realize mid-presentation it's the wrong day,더 싫은 상황은?,잘못된 교실/회의실 들어가서 발표 시작함,발표 중간에 날짜가 틀렸다는 걸 깨달음,
workschool,Which is worse?,Your boss sees you job hunting on LinkedIn,Your coworkers find your Glassdoor review of the company,더 싫은 상황은?,상사가 내가 이직 알아보는 거 봄,동료들이 회사에 대한 내 리뷰 발견함,
workschool,Which is worse?,Arrive to work/school and realize it's your day off,"You took a day off, but you were rejected",더 싫은 상황은?,출근/등교했는데 쉬는 날인 걸 깨달음,연차냈는데 거절당함,
workschool,Which is worse?,"You have to present, but the hiccups don't stop",Have to present while desperately needing the bathroom,더 싫은 상황은?,발표해야하는데 딸꾹질이 안 멈춤,급하게 화장실 가고 싶은데 발표해야 함,
workschool,Which is worse?,Your boss follows all your social media accounts,Your boss friend-requests your parents,더 싫은 상황은?,상사가 내 모든 SNS 계정 팔로우함,상사가 내 부모님한테 친구 신청함,
workschool,Which is worse?,Office printer always jams when you use it,Your computer always crashes before you save,더 싫은 상황은?,내가 쓸 때마다 사무실 프린터 고장남,저장하기 전에 컴퓨터 항상 다운됨,
workschool,What's the worse accident?,Wear your shirt inside out all day and no one tells you,Have cheese stuck to your shoe during an important meeting,더 싫은 사고는?,하루 종일 옷 뒤집어 입었는데 아무도 안 알려줌,중요한 회의 중 신발에 치즈 붙어 있음,
workschool,Which is worse?,Your embarrassing childhood nickname becomes your work nickname,Everyone calls you by your last name only,더 싫은 상황은?,창피한 어린 시절 별명이 직장 별명이 됨,모두가 나를 성으로만 부름 (ex. 어이 김씨),
workschool,Which is worse?,Send a text complaining about work to the work group chat,Post a work complaint on your public social media,더 싫은 상황은?,회사 불평 문자를 회사 단톡방에 보냄,회사 불평을 공개 SNS에 올림,
workschool,What do you hate more?,Have a coworker who microwaves everything,Have a coworker who never cleans up after themselves,더 싫은 것은?,모든 걸 전자레인지 돌리는 동료,절대 뒷정리 안 하는 동료,
workschool,What do you hate more?,Work with someone who keeps sighing,Work with someone who types aggressively,더 싫은 것은?,계속 한숨 쉬는 사람과 일함,공격적으로 타자 치는 사람과 일함,
workschool,Which is worse?,Your webcam turns on accidentally during a meeting,Your mic picks up you singing in the shower,더 싫은 상황은?,회의 중 실수로 웹캠 켜짐,마이크가 샤워하며 노래 부르는 소리 주움,
workschool,Which is worse?,Present to the board and your voice cracks,Present to the board and forget what you were saying mid-sentence,더 싫은 상황은?,이사회에 발표하는데 목소리 갈라짐,이사회에 발표하다가 말 중간에 까먹음,
workschool,Which is better?,Always be 5 minutes late,Always be 30 minutes early,더 나은 것은?,항상 5분 늦음,항상 30분 일찍 도착함,
workschool,Which is worse?,Your work crush finds your SNS stalking history,You find out they've been avoiding you,더 싫은 상황은?,짝사랑하는 동료가 내 SNS 스토킹 기록 발견함,그 사람이 나를 피하고 있었다는 걸 알게 됨,
workschool,What do you hate more?,Have a boss who micromanages everything,Have a boss who never gives feedback,더 싫은 것은?,모든 걸 간섭하는 상사,피드백 절대 안 하는 상사,
workschool,Which is worse?,Work presentation has an embarrassing autocorrect,Your name is spelled wrong on all official documents,더 싫은 상황은?,업무 발표에 창피한 자동 수정 있음,모든 공식 문서에 내 이름이 틀리게 적힘,
workschool,Which is worse?,Accidentally send a Slack message to everyone instead of one person,Accidentally react with the wrong emoji to your boss's message,더 싫은 상황은?,실수로 슬랙 메시지를 한 명이 아닌 모두한테 보냄,실수로 상사의 메시지에 엉뚱한 이모지 반응함,
workschool,What do you hate more?,Have a coworker who takes credit for your ideas,Have a coworker who always plays devil's advocate,더 싫은 것은?,내 아이디어를 자기 거라고 하는 동료,항상 반대만 하는 동료,
workschool,What do you hate more?,sitting next to a person with a mouthful,Sit next to the loudest phone talker,더 싫은 것은?,입 싼 사람 옆에 앉음,가장 시끄럽게 통화하는 사람 옆에 앉음,
workschool,Which is worse?,Your professor follows you on Instagram,Your juniors find your old social media,더 싫은 상황은?,교수님이 인스타그램에서 나를 팔로우함,후배들이 내 옛날 SNS 찾아냄,
workschool,What's the worse accident?,Lunch meeting where you have something stuck in your teeth,Lunch meeting where you spill food on yourself,더 싫은 사고는?,점심 미팅인데 이에 뭐 낌,점심 미팅인데 음식 나한테 쏟음,
workschool,What's the worse accident?,Give a presentation with a typo on every slide,Give a presentation where all your data is wrong,더 싫은 사고는?,모든 슬라이드에 오타 있는 발표,모든 데이터가 틀린 발표,
workschool,Which is worse?,Your boss cc's everyone on every email,Your boss never responds to emails,더 싫은 상황은?,상사가 모든 이메일에 전체 참조 넣음,상사가 이메일에 절대 답장 안 함,
workschool,Which is worse?,You accidentally got too drunk at the work happy hour,"You don't want to drink at a work happy hour, but they keep forcing to drink",더 싫은 상황은?,회식에서 실수로 너무 취해서 주정부림,회식에서 술마시기 싫은데 자꾸 강요함,
workschool,Which is worse?,Sitting in front making eye contact with teacher,Sitting in back unable to see the board,더 싫은 상황은?,앞자리에서 선생님과 눈 마주치기,뒷자리에서 칠판 안 보이기,
workschool,Which is worse?,"Accidentally calling your teacher ""Mom""",Accidentally shouting your crush's name out loud during class,더 싫은 상황은?,"선생님한테 ""엄마""라고 부르기",짝사랑하는 애 이름을 수업 중에 크게 외치기,
workschool,Which is worse?,"Send a professional email with ""LOL"" at the end",Send a casual text to a client thinking it's your friend,더 싫은 상황은?,"전문적인 이메일 끝에 ""ㅋㅋ"" 씀",친구인 줄 알고 고객한테 편한 문자 보냄,
workschool,Which is worse?,Discovering there's no toilet paper after it's too late,Going through 3 periods with your zipper/buttons undone,더 싫은 상황은?,화장실에서 휴지 없는 거 뒤늦게 발견,지퍼/단추 열린 채로 3교시까지 수업 듣기,
workschool,Which is worse?,Bring your lunch and it smells terrible,Forget your lunch and have to ask coworkers for food,더 싫은 상황은?,도시락 가져왔는데 냄새 심함,도시락 까먹어서 동료들한테 음식 얻어먹어야 함,
workschool,Which is worse?,Your work computer has all your personal bookmarks visible,Your personal computer has all your work files,더 싫은 상황은?,업무용 컴퓨터에 개인 북마크 다 보임,개인 컴퓨터에 업무 파일 다 있음,
